Tech_rep,Temp,Replicate,Treatment,PopID,Date time start,Date time end,Total time (days),Total time (days),# at end,r,r2
3,39,1,20,20.1,3/31/2021 12:00,4/1/2021 10:48,0.95,7,2,-1.32,-1.32
3,39,2,20,20.2,3/31/2021 12:00,4/1/2021 10:51,0.95,7,3,-0.89,-0.89
3,39,3,20,20.3,3/31/2021 12:00,4/1/2021 10:54,0.95,7,0,#NUM!,
3,39,4,20,20.4,3/31/2021 12:00,4/1/2021 10:45,0.95,7,0,#NUM!,
3,39,5,36,36.1,3/31/2021 12:00,4/1/2021 10:34,0.94,7,1,-2.07,-2.07
3,39,6,36,36.6,3/31/2021 12:00,4/1/2021 10:41,0.95,7,0,#NUM!,
3,39,7,36,36.7,3/31/2021 12:00,4/1/2021 10:38,0.94,7,0,#NUM!,
4,10,1,20,20.1,4/1/2021 11:15,4/2/2021 15:10,1.16,7,9,0.22,0.22
4,10,2,20,20.2,4/1/2021 11:15,4/2/2021 15:00,1.16,7,7,0,0
4,10,3,20,20.3,4/1/2021 11:15,4/2/2021 15:20,1.17,7,8,0.11,0.11
4,10,4,20,20.4,4/1/2021 11:15,4/2/2021 14:54,1.15,7,7,0,0
4,10,5,36,36.1,4/1/2021 11:15,4/2/2021 15:05,1.16,7,8,0.12,0.12
4,10,6,36,36.6,4/1/2021 11:15,4/2/2021 14:43,1.14,7,6,-0.13,-0.13
4,10,7,36,36.7,4/1/2021 11:15,4/2/2021 14:49,1.15,7,7,0,0
4,20,1,20,20.1,4/1/2021 11:15,4/2/2021 15:49,1.19,7,34,1.33,1.33
4,20,2,20,20.2,4/1/2021 11:15,4/2/2021 15:23,1.17,7,31,1.27,1.27
4,20,3,20,20.3,4/1/2021 11:15,4/2/2021 15:27,1.18,7,33,1.32,1.32
4,20,4,20,20.4,4/1/2021 11:15,4/2/2021 15:32,1.18,7,40,1.48,1.48
4,20,5,36,36.1,4/1/2021 11:15,4/2/2021 15:37,1.18,7,15,0.64,0.64
4,20,6,36,36.6,4/1/2021 11:15,4/2/2021 15:41,1.18,7,12,0.45,0.45
4,20,7,36,36.7,4/1/2021 11:15,4/2/2021 15:43,1.19,7,16,0.7,0.7
4,26,1,20,20.1,4/1/2021 11:15,4/2/2021 14:28,1.13,7,81,2.16,2.16
4,26,2,20,20.2,4/1/2021 11:15,4/2/2021 14:37,1.14,7,98,2.31,2.31
4,26,3,20,20.3,4/1/2021 11:15,4/2/2021 14:45,1.15,7,55,1.8,1.8
4,26,4,20,20.4,4/1/2021 11:15,4/2/2021 14:54,1.15,7,83,2.15,2.15
4,26,5,36,36.1,4/1/2021 11:15,4/2/2021 15:00,1.16,7,33,1.34,1.34
4,26,6,36,36.6,4/1/2021 11:15,4/2/2021 15:05,1.16,7,18,0.81,0.81
4,26,7,36,36.7,4/1/2021 11:15,4/2/2021 15:11,1.16,7,25,1.09,1.09
4,28,1,20,20.1,4/1/2021 11:15,4/2/2021 13:27,1.09,7,95,2.39,2.39
4,28,2,20,20.2,4/1/2021 11:15,4/2/2021 13:40,1.1,7,125,2.62,2.62
4,28,3,20,20.3,4/1/2021 11:15,4/2/2021 13:51,1.11,7,106,2.45,2.45
4,28,4,20,20.4,4/1/2021 11:15,4/2/2021 14:03,1.12,7,104,2.42,2.42
4,28,5,36,36.1,4/1/2021 11:15,4/2/2021 12:52,1.07,7,40,1.63,1.63
4,28,6,36,36.6,4/1/2021 11:15,4/2/2021 12:57,1.07,7,13,0.58,0.58
4,28,7,36,36.7,4/1/2021 11:15,4/2/2021 13:07,1.08,7,21,1.02,1.02
4,30,1,20,20.1,4/1/2021 11:15,4/2/2021 13:02,1.07,7,121,2.65,2.65
4,30,2,20,20.2,4/1/2021 11:15,4/2/2021 13:16,1.08,7,219,3.18,3.18
4,30,3,20,20.3,4/1/2021 11:15,4/2/2021 13:08,1.08,7,121,2.64,2.64
4,30,4,20,20.4,4/1/2021 11:15,4/2/2021 13:25,1.09,7,154,2.84,2.84
4,30,5,36,36.1,4/1/2021 11:15,4/2/2021 13:22,1.09,7,45,1.71,1.71
4,30,6,36,36.6,4/1/2021 11:15,4/2/2021 13:44,1.1,7,19,0.9,0.9
4,30,7,36,36.7,4/1/2021 11:15,4/2/2021 13:38,1.1,7,41,1.61,1.61
4,32,1,20,20.1,4/1/2021 11:15,4/2/2021 13:38,1.1,7,178,2.94,2.94
4,32,2,20,20.2,4/1/2021 11:15,4/2/2021 13:56,1.11,7,267,3.28,3.28
4,32,3,20,20.3,4/1/2021 11:15,4/2/2021 14:20,1.13,7,191,2.93,2.93
4,32,4,20,20.4,4/1/2021 11:15,4/2/2021 14:22,1.13,7,147,2.69,2.69
4,32,5,36,36.1,4/1/2021 11:15,4/2/2021 14:06,1.12,7,53,1.81,1.81
4,32,6,36,36.6,4/1/2021 11:15,4/2/2021 14:17,1.13,7,14,0.62,0.62
4,32,7,36,36.7,4/1/2021 11:15,4/2/2021 13:57,1.11,7,53,1.82,1.82
4,36,1,20,20.1,4/1/2021 11:15,4/2/2021 15:50,1.19,7,114,2.34,2.34
4,36,2,20,20.2,4/1/2021 11:15,4/2/2021 16:07,1.2,7,235,2.92,2.92
4,36,3,20,20.3,4/1/2021 11:15,4/2/2021 16:02,1.2,7,189,2.75,2.75
4,36,4,20,20.4,4/1/2021 11:15,4/2/2021 16:02,1.2,7,191,2.76,2.76
4,36,5,36,36.1,4/1/2021 11:15,4/2/2021 15:32,1.18,7,21,0.93,0.93
4,36,6,36,36.6,4/1/2021 11:15,4/2/2021 16:17,1.21,7,7,0,0
4,36,7,36,36.7,4/1/2021 11:15,4/2/2021 15:47,1.19,7,40,1.47,1.47
4,39,1,20,20.1,4/1/2021 11:15,4/2/2021 10:23,0.96,7,1,-2.02,-2.02
4,39,2,20,20.2,4/1/2021 11:15,4/2/2021 10:26,0.97,7,1,-2.01,-2.01
4,39,3,20,20.3,4/1/2021 11:15,4/2/2021 10:29,0.97,7,0,#NUM!,
4,39,4,20,20.4,4/1/2021 11:15,4/2/2021 10:32,0.97,7,0,#NUM!,
4,39,5,36,36.1,4/1/2021 11:15,4/2/2021 10:14,0.96,7,0,#NUM!,
4,39,6,36,36.6,4/1/2021 11:15,4/2/2021 10:17,0.96,7,0,#NUM!,
